Name,Pick Up Lat,Pick Up Long,Drop Off Lat,Drop Off Long
Nik132,40.254,-80.254,40.587,-80.587
Nik133,40.255,-80.255,40.588,-80.588
Nik134,40.256,-80.256,40.589,-80.589
Nik135,40.257,-80.257,40.590,-80.590
Nik136,40.258,-80.258,40.591,-80.591
Nik137,40.259,-80.259,40.592,-80.592
Nik138,40.260,-80.260,40.593,-80.593
Nik139,40.261,-80.261,40.594,-80.594
Nik140,40.262,-80.262,40.595,-80.595
Nik141,40.263,-80.263,40.596,-80.596
Nik142,40.264,-80.264,40.597,-80.597
Nik143,40.265,-80.265,40.598,-80.598
Nik144,40.266,-80.266,40.599,-80.599
Nik145,40.267,-80.267,40.600,-80.600
Nik146,40.268,-80.268,40.601,-80.601
Nik147,40.269,-80.269,40.602,-80.602
Nik148,40.270,-80.270,40.603,-80.603
Nik149,40.271,-80.271,40.604,-80.604
Nik150,40.272,-80.272,40.605,-80.605
Nik151,40.273,-80.273,40.606,-80.606
Nik152,40.274,-80.274,40.607,-80.607
Nik153,40.275,-80.275,40.608,-80.608
Nik154,40.276,-80.276,40.609,-80.609
Nik155,40.277,-80.277,40.610,-80.610
Nik156,40.278,-80.278,40.611,-80.611
Nik157,40.279,-80.279,40.612,-80.612
Nik158,40.280,-80.280,40.613,-80.613
Nik159,40.281,-80.281,40.614,-80.614
Nik160,40.282,-80.282,40.615,-80.615
Nik161,40.283,-80.283,40.616,-80.616
Nik162,40.284,-80.284,40.617,-80.617
Nik163,40.285,-80.285,40.618,-80.618
Nik164,40.286,-80.286,40.619,-80.619
Nik165,40.287,-80.287,40.620,-80.620
Nik166,40.288,-80.288,40.621,-80.621
Nik167,40.289,-80.289,40.622,-80.622
Nik168,40.290,-80.290,40.623,-80.623
Nik169,40.291,-80.291,40.624,-80.624
Nik170,40.292,-80.292,40.625,-80.625
Nik171,40.293,-80.293,40.626,-80.626
Nik172,40.294,-80.294,40.627,-80.627
Nik173,40.295,-80.295,40.628,-80.628
Nik174,40.296,-80.296,40.629,-80.629
Nik175,40.297,-80.297,40.630,-80.630
Nik176,40.298,-80.298,40.631,-80.631
Nik177,40.299,-80.299,40.632,-80.632
Nik178,40.300,-80.300,40.633,-80.633
Nik179,40.301,-80.301,40.634,-80.634
Nik180,40.302,-80.302,40.635,-80.635
Nik181,40.303,-80.303,40.636,-80.636
Nik182,40.304,-80.304,40.637,-80.637
Nik183,40.305,-80.305,40.638,-80.638
Nik184,40.306,-80.306,40.639,-80.639
Nik185,40.307,-80.307,40.640,-80.640
Nik186,40.308,-80.308,40.641,-80.641
Nik187,40.309,-80.309,40.642,-80.642
Nik188,40.310,-80.310,40.643,-80.643
Nik189,40.311,-80.311,40.644,-80.644
Nik190,40.312,-80.312,40.645,-80.645
Nik191,40.313,-80.313,40.646,-80.646
Nik192,40.314,-80.314,40.647,-80.647
Nik193,40.315,-80.315,40.648,-80.648
Nik194,40.316,-80.316,40.649,-80.649
Nik195,40.317,-80.317,40.650,-80.650
Nik196,40.318,-80.318,40.651,-80.651
Nik197,40.319,-80.319,40.652,-80.652
Nik198,40.320,-80.320,40.653,-80.653
Nik199,40.321,-80.321,40.654,-80.654
Nik200,40.322,-80.322,40.655,-80.655
Nik201,40.323,-80.323,40.656,-80.656
Nik202,40.324,-80.324,40.657,-80.657
Nik203,40.325,-80.325,40.658,-80.658
Nik204,40.326,-80.326,40.659,-80.659
Nik205,40.327,-80.327,40.660,-80.660
Nik206,40.328,-80.328,40.661,-80.661
Nik207,40.329,-80.329,40.662,-80.662
Nik208,40.330,-80.330,40.663,-80.663
Nik209,40.331,-80.331,40.664,-80.664
Nik210,40.332,-80.332,40.665,-80.665
Nik211,40.333,-80.333,40.666,-80.666
Nik212,40.334,-80.334,40.667,-80.667
Nik213,40.335,-80.335,40.668,-80.668
Nik214,40.336,-80.336,40.669,-80.669
Nik215,40.337,-80.337,40.670,-80.670
Nik216,40.338,-80.338,40.671,-80.671
Nik217,40.339,-80.339,40.672,-80.672
Nik218,40.340,-80.340,40.673,-80.673
Nik219,40.341,-80.341,40.674,-80.674
Nik220,40.342,-80.342,40.675,-80.675
Nik221,40.343,-80.343,40.676,-80.676
Nik222,40.344,-80.344,40.677,-80.677
Nik223,40.345,-80.345,40.678,-80.678
Nik224,40.346,-80.346,40.679,-80.679
Nik225,40.347,-80.347,40.680,-80.680
Nik226,40.348,-80.348,40.681,-80.681
Nik227,40.349,-80.349,40.682,-80.682
Nik228,40.350,-80.350,40.683,-80.683
Nik229,40.351,-80.351,40.684,-80.684
Nik230,40.352,-80.352,40.685,-80.685
Nik231,40.353,-80.353,40.686,-80.686
Nik232,40.354,-80.354,40.687,-80.687
Nik233,40.355,-80.355,40.688,-80.688
Nik234,40.356,-80.356,40.689,-80.689
Nik235,40.357,-80.357,40.690,-80.690
Nik236,40.358,-80.358,40.691,-80.691
Nik237,40.359,-80.359,40.692,-80.692
Nik238,40.360,-80.360,40.693,-80.693
Nik239,40.361,-80.361,40.694,-80.694
Nik240,40.362,-80.362,40.695,-80.695
Nik241,40.363,-80.363,40.696,-80.696
Nik242,40.364,-80.364,40.697,-80.697
Nik243,40.365,-80.365,40.698,-80.698
Nik244,40.366,-80.366,40.699,-80.699
Nik245,40.367,-80.367,40.700,-80.700
Nik246,40.368,-80.368,40.701,-80.701
Nik247,40.369,-80.369,40.702,-80.702
Nik248,40.370,-80.370,40.703,-80.703
Nik249,40.371,-80.371,40.704,-80.704
Nik250,40.372,-80.372,40.705,-80.705
Nik251,40.373,-80.373,40.706,-80.706
Nik252,40.374,-80.374,40.707,-80.707
Nik253,40.375,-80.375,40.708,-80.708
Nik254,40.376,-80.376,40.709,-80.709
Nik255,40.377,-80.377,40.710,-80.710
Nik256,40.378,-80.378,40.711,-80.711
Nik257,40.379,-80.379,40.712,-80.712
Nik258,40.380,-80.380,40.713,-80.713
Nik259,40.381,-80.381,40.714,-80.714
Nik260,40.382,-80.382,40.715,-80.715
Nik261,40.383,-80.383,40.716,-80.716
Nik262,40.384,-80.384,40.717,-80.717
Nik263,40.385,-80.385,40.718,-80.718
Nik264,40.386,-80.386,40.719,-80.719
Nik265,40.387,-80.387,40.720,-80.720
Nik266,40.388,-80.388,40.721,-80.721
Nik267,40.389,-80.389,40.722,-80.722
Nik268,40.390,-80.390,40.723,-80.723
Nik269,40.391,-80.391,40.724,-80.724
Nik270,40.392,-80.392,40.725,-80.725
Nik271,40.393,-80.393,40.726,-80.726
Nik272,40.394,-80.394,40.727,-80.727
Nik273,40.395,-80.395,40.728,-80.728
Nik274,40.396,-80.396,40.729,-80.729
Nik275,40.397,-80.397,40.730,-80.730
Nik276,40.398,-80.398,40.731,-80.731
Nik277,40.399,-80.399,40.732,-80.732
Nik278,40.400,-80.400,40.733,-80.733
Nik279,40.401,-80.401,40.734,-80.734
Nik280,40.402,-80.402,40.735,-80.735
Nik281,40.403,-80.403,40.736,-80.736
Nik282,40.404,-80.404,40.737,-80.737
Nik283,40.405,-80.405,40.738,-80.738
Nik284,40.406,-80.406,40.739,-80.739
Nik285,40.407,-80.407,40.740,-80.740
Nik286,40.408,-80.408,40.741,-80.741
Nik287,40.409,-80.409,40.742,-80.742
Nik288,40.410,-80.410,40.743,-80.743
Nik289,40.411,-80.411,40.744,-80.744
Nik290,40.412,-80.412,40.745,-80.745
Nik291,40.413,-80.413,40.746,-80.746
Nik292,40.414,-80.414,40.747,-80.747
Nik293,40.415,-80.415,40.748,-80.748
Nik294,40.416,-80.416,40.749,-80.749
Nik295,40.417,-80.417,40.750,-80.750
Nik296,40.418,-80.418,40.751,-80.751
Nik297,40.419,-80.419,40.752,-80.752
Nik298,40.420,-80.420,40.753,-80.753
Nik299,40.421,-80.421,40.754,-80.754
Nik300,40.422,-80.422,40.755,-80.755
Nik301,40.423,-80.423,40.756,-80.756
Nik302,40.424,-80.424,40.757,-80.757
Nik303,40.425,-80.425,40.758,-80.758
Nik304,40.426,-80.426,40.759,-80.759
Nik305,40.427,-80.427,40.760,-80.760
Nik306,40.428,-80.428,40.761,-80.761
Nik307,40.429,-80.429,40.762,-80.762
Nik308,40.430,-80.430,40.763,-80.763
Nik309,40.431,-80.431,40.764,-80.764
Nik310,40.432,-80.432,40.765,-80.765
Nik311,40.433,-80.433,40.766,-80.766
Nik312,40.434,-80.434,40.767,-80.767
Nik313,40.435,-80.435,40.768,-80.768
Nik314,40.436,-80.436,40.769,-80.769
Nik315,40.437,-80.437,40.770,-80.770
Nik316,40.438,-80.438,40.771,-80.771
Nik317,40.439,-80.439,40.772,-80.772
Nik318,40.440,-80.440,40.773,-80.773
Nik319,40.441,-80.441,40.774,-80.774
Nik320,40.442,-80.442,40.775,-80.775
Nik321,40.443,-80.443,40.776,-80.776
Nik322,40.444,-80.444,40.777,-80.777
Nik323,40.445,-80.445,40.778,-80.778
Nik324,40.446,-80.446,40.779,-80.779
Nik325,40.447,-80.447,40.780,-80.780
Nik326,40.448,-80.448,40.781,-80.781
Nik327,40.449,-80.449,40.782,-80.782
Nik328,40.450,-80.450,40.783,-80.783
Nik329,40.451,-80.451,40.784,-80.784
Nik330,40.452,-80.452,40.785,-80.785
Nik331,40.453,-80.453,40.786,-80.786
Nik332,40.454,-80.454,40.787,-80.787
Nik333,40.455,-80.455,40.788,-80.788
Nik334,40.456,-80.456,40.789,-80.789
Nik335,40.457,-80.457,40.790,-80.790
Nik336,40.458,-80.458,40.791,-80.791
Nik337,40.459,-80.459,40.792,-80.792
Nik338,40.460,-80.460,40.793,-80.793
Nik339,40.461,-80.461,40.794,-80.794
Nik340,40.462,-80.462,40.795,-80.795
Nik341,40.463,-80.463,40.796,-80.796
Nik342,40.464,-80.464,40.797,-80.797
Nik343,40.465,-80.465,40.798,-80.798
Nik344,40.466,-80.466,40.799,-80.799
Nik345,40.467,-80.467,40.800,-80.800
Nik346,40.468,-80.468,40.801,-80.801
Nik347,40.469,-80.469,40.802,-80.802
Nik348,40.470,-80.470,40.803,-80.803
Nik349,40.471,-80.471,40.804,-80.804
Nik350,40.472,-80.472,40.805,-80.805
Nik351,40.473,-80.473,40.806,-80.806
Nik352,40.474,-80.474,40.807,-80.807
Nik353,40.475,-80.475,40.808,-80.808
Nik354,40.476,-80.476,40.809,-80.809
Nik355,40.477,-80.477,40.810,-80.810
Nik356,40.478,-80.478,40.811,-80.811
Nik357,40.479,-80.479,40.812,-80.812
Nik358,40.480,-80.480,40.813,-80.813
Nik359,40.481,-80.481,40.814,-80.814
Nik360,40.482,-80.482,40.815,-80.815
Nik361,40.483,-80.483,40.816,-80.816
Nik362,40.484,-80.484,40.817,-80.817
Nik363,40.485,-80.485,40.818,-80.818
Nik364,40.486,-80.486,40.819,-80.819
Nik365,40.487,-80.487,40.820,-80.820
Nik366,40.488,-80.488,40.821,-80.821
Nik367,40.489,-80.489,40.822,-80.822
Nik368,40.490,-80.490,40.823,-80.823
Nik369,40.491,-80.491,40.824,-80.824
Nik370,40.492,-80.492,40.825,-80.825
Nik371,40.493,-80.493,40.826,-80.826
Nik372,40.494,-80.494,40.827,-80.827
Nik373,40.495,-80.495,40.828,-80.828
Nik374,40.496,-80.496,40.829,-80.829
Nik375,40.497,-80.497,40.830,-80.830
Nik376,40.498,-80.498,40.831,-80.831
Nik377,40.499,-80.499,40.832,-80.832
Nik378,40.500,-80.500,40.833,-80.833
Nik379,40.501,-80.501,40.834,-80.834
Nik380,40.502,-80.502,40.835,-80.835
Nik381,40.503,-80.503,40.836,-80.836
Nik382,40.504,-80.504,40.837,-80.837
Nik383,40.505,-80.505,40.838,-80.838
Nik384,40.506,-80.506,40.839,-80.839
Nik385,40.507,-80.507,40.840,-80.840
Nik386,40.508,-80.508,40.841,-80.841
Nik387,40.509,-80.509,40.842,-80.842
Nik388,40.510,-80.510,40.843,-80.843
Nik389,40.511,-80.511,40.844,-80.844
Nik390,40.512,-80.512,40.845,-80.845
Nik391,40.513,-80.513,40.846,-80.846
Nik392,40.514,-80.514,40.847,-80.847
Nik393,40.515,-80.515,40.848,-80.848
Nik394,40.516,-80.516,40.849,-80.849
Nik395,40.517,-80.517,40.850,-80.850
Nik396,40.518,-80.518,40.851,-80.851
Nik397,40.519,-80.519,40.852,-80.852
Nik398,40.520,-80.520,40.853,-80.853
Nik399,40.521,-80.521,40.854,-80.854
Nik400,40.522,-80.522,40.855,-80.855
Nik401,40.523,-80.523,40.856,-80.856
Nik402,40.524,-80.524,40.857,-80.857
Nik403,40.525,-80.525,40.858,-80.858
Nik404,40.526,-80.526,40.859,-80.859
Nik405,40.527,-80.527,40.860,-80.860
Nik406,40.528,-80.528,40.861,-80.861
Nik407,40.529,-80.529,40.862,-80.862
Nik408,40.530,-80.530,40.863,-80.863
Nik409,40.531,-80.531,40.864,-80.864
Nik410,40.532,-80.532,40.865,-80.865
Nik411,40.533,-80.533,40.866,-80.866
Nik412,40.534,-80.534,40.867,-80.867
Nik413,40.535,-80.535,40.868,-80.868
Nik414,40.536,-80.536,40.869,-80.869
Nik415,40.537,-80.537,40.870,-80.870
Nik416,40.538,-80.538,40.871,-80.871
Nik417,40.539,-80.539,40.872,-80.872
Nik418,40.540,-80.540,40.873,-80.873
Nik419,40.541,-80.541,40.874,-80.874
Nik420,40.542,-80.542,40.875,-80.875
Nik421,40.543,-80.543,40.876,-80.876
Nik422,40.544,-80.544,40.877,-80.877
Nik423,40.545,-80.545,40.878,-80.878
Nik424,40.546,-80.546,40.879,-80.879
Nik425,40.547,-80.547,40.880,-80.880
Nik426,40.548,-80.548,40.881,-80.881
Nik427,40.549,-80.549,40.882,-80.882
Nik428,40.550,-80.550,40.883,-80.883
Nik429,40.551,-80.551,40.884,-80.884
Nik430,40.552,-80.552,40.885,-80.885
Nik431,40.553,-80.553,40.886,-80.886
Nik432,40.554,-80.554,40.887,-80.887
Nik433,40.555,-80.555,40.888,-80.888
Nik434,40.556,-80.556,40.889,-80.889
Nik435,40.557,-80.557,40.890,-80.890
Nik436,40.558,-80.558,40.891,-80.891
Nik437,40.559,-80.559,40.892,-80.892
Nik438,40.560,-80.560,40.893,-80.893
Nik439,40.561,-80.561,40.894,-80.894
Nik440,40.562,-80.562,40.895,-80.895
Nik441,40.563,-80.563,40.896,-80.896
Nik442,40.564,-80.564,40.897,-80.897
Nik443,40.565,-80.565,40.898,-80.898
Nik444,40.566,-80.566,40.899,-80.899
Nik445,40.567,-80.567,40.900,-80.900
Nik446,40.568,-80.568,40.901,-80.901
Nik447,40.569,-80.569,40.902,-80.902
Nik448,40.570,-80.570,40.903,-80.903
Nik449,40.571,-80.571,40.904,-80.904
Nik450,40.572,-80.572,40.905,-80.905
Nik451,40.573,-80.573,40.906,-80.906
Nik452,40.574,-80.574,40.907,-80.907
Nik453,40.575,-80.575,40.908,-80.908
Nik454,40.576,-80.576,40.909,-80.909
Nik455,40.577,-80.577,40.910,-80.910
Nik456,40.578,-80.578,40.911,-80.911
Nik457,40.579,-80.579,40.912,-80.912
Nik458,40.580,-80.580,40.913,-80.913
Nik459,40.581,-80.581,40.914,-80.914
Nik460,40.582,-80.582,40.915,-80.915
Nik461,40.583,-80.583,40.916,-80.916
Nik462,40.584,-80.584,40.917,-80.917
Nik463,40.585,-80.585,40.918,-80.918
Nik464,40.586,-80.586,40.919,-80.919
Nik465,40.587,-80.587,40.920,-80.920
Nik466,40.588,-80.588,40.921,-80.921
Nik467,40.589,-80.589,40.922,-80.922
Nik468,40.590,-80.590,40.923,-80.923
Nik469,40.591,-80.591,40.924,-80.924
Nik470,40.592,-80.592,40.925,-80.925
Nik471,40.593,-80.593,40.926,-80.926
Nik472,40.594,-80.594,40.927,-80.927
Nik473,40.595,-80.595,40.928,-80.928
Nik474,40.596,-80.596,40.929,-80.929
Nik475,40.597,-80.597,40.930,-80.930
Nik476,40.598,-80.598,40.931,-80.931
Nik477,40.599,-80.599,40.932,-80.932
Nik478,40.600,-80.600,40.933,-80.933
Nik479,40.601,-80.601,40.934,-80.934
Nik480,40.602,-80.602,40.935,-80.935
Nik481,40.603,-80.603,40.936,-80.936
Nik482,40.604,-80.604,40.937,-80.937
Nik483,40.605,-80.605,40.938,-80.938
Nik484,40.606,-80.606,40.939,-80.939
Nik485,40.607,-80.607,40.940,-80.940
Nik486,40.608,-80.608,40.941,-80.941
Nik487,40.609,-80.609,40.942,-80.942
Nik488,40.610,-80.610,40.943,-80.943
Nik489,40.611,-80.611,40.944,-80.944
Nik490,40.612,-80.612,40.945,-80.945
Nik491,40.613,-80.613,40.946,-80.946
Nik492,40.614,-80.614,40.947,-80.947
Nik493,40.615,-80.615,40.948,-80.948
Nik494,40.616,-80.616,40.949,-80.949
Nik495,40.617,-80.617,40.950,-80.950
Nik496,40.618,-80.618,40.951,-80.951
Nik497,40.619,-80.619,40.952,-80.952
Nik498,40.620,-80.620,40.953,-80.953
Nik499,40.621,-80.621,40.954,-80.954
Nik500,40.622,-80.622,40.955,-80.955
Nik501,40.623,-80.623,40.956,-80.956
Nik502,40.624,-80.624,40.957,-80.957
Nik503,40.625,-80.625,40.958,-80.958
Nik504,40.626,-80.626,40.959,-80.959
Nik505,40.627,-80.627,40.960,-80.960
Nik506,40.628,-80.628,40.961,-80.961
Nik507,40.629,-80.629,40.962,-80.962
Nik508,40.630,-80.630,40.963,-80.963
Nik509,40.631,-80.631,40.964,-80.964
Nik510,40.632,-80.632,40.965,-80.965
Nik511,40.633,-80.633,40.966,-80.966
Nik512,40.634,-80.634,40.967,-80.967
Nik513,40.635,-80.635,40.968,-80.968
Nik514,40.636,-80.636,40.969,-80.969
Nik515,40.637,-80.637,40.970,-80.970
Nik516,40.638,-80.638,40.971,-80.971
Nik517,40.639,-80.639,40.972,-80.972
Nik518,40.640,-80.640,40.973,-80.973
Nik519,40.641,-80.641,40.974,-80.974
Nik520,40.642,-80.642,40.975,-80.975
Nik521,40.643,-80.643,40.976,-80.976
Nik522,40.644,-80.644,40.977,-80.977
Nik523,40.645,-80.645,40.978,-80.978
Nik524,40.646,-80.646,40.979,-80.979
Nik525,40.647,-80.647,40.980,-80.980
Nik526,40.648,-80.648,40.981,-80.981
Nik527,40.649,-80.649,40.982,-80.982
Nik528,40.650,-80.650,40.983,-80.983
Nik529,40.651,-80.651,40.984,-80.984
Nik530,40.652,-80.652,40.985,-80.985
Nik531,40.653,-80.653,40.986,-80.986
Nik532,40.654,-80.654,40.987,-80.987
Nik533,40.655,-80.655,40.988,-80.988
Nik534,40.656,-80.656,40.989,-80.989
Nik535,40.657,-80.657,40.990,-80.990
Nik536,40.658,-80.658,40.991,-80.991
Nik537,40.659,-80.659,40.992,-80.992
Nik538,40.660,-80.660,40.993,-80.993
Nik539,40.661,-80.661,40.994,-80.994
Nik540,40.662,-80.662,40.995,-80.995
Nik541,40.663,-80.663,40.996,-80.996
Nik542,40.664,-80.664,40.997,-80.997
Nik543,40.665,-80.665,40.998,-80.998
Nik544,40.666,-80.666,40.999,-80.999
Nik545,40.667,-80.667,41.000,-81.000
Nik546,40.668,-80.668,41.001,-81.001
Nik547,40.669,-80.669,41.002,-81.002
Nik548,40.670,-80.670,41.003,-81.003
Nik549,40.671,-80.671,41.004,-81.004
Nik550,40.672,-80.672,41.005,-81.005
Nik551,40.673,-80.673,41.006,-81.006
Nik552,40.674,-80.674,41.007,-81.007
Nik553,40.675,-80.675,41.008,-81.008
Nik554,40.676,-80.676,41.009,-81.009
Nik555,40.677,-80.677,41.010,-81.010
Nik556,40.678,-80.678,41.011,-81.011
Nik557,40.679,-80.679,41.012,-81.012
Nik558,40.680,-80.680,41.013,-81.013
Nik559,40.681,-80.681,41.014,-81.014
Nik560,40.682,-80.682,41.015,-81.015
Nik561,40.683,-80.683,41.016,-81.016
Nik562,40.684,-80.684,41.017,-81.017
Nik563,40.685,-80.685,41.018,-81.018
Nik564,40.686,-80.686,41.019,-81.019
Nik565,40.687,-80.687,41.020,-81.020
Nik566,40.688,-80.688,41.021,-81.021
Nik567,40.689,-80.689,41.022,-81.022
Nik568,40.690,-80.690,41.023,-81.023
Nik569,40.691,-80.691,41.024,-81.024
Nik570,40.692,-80.692,41.025,-81.025
Nik571,40.693,-80.693,41.026,-81.026
Nik572,40.694,-80.694,41.027,-81.027
Nik573,40.695,-80.695,41.028,-81.028
Nik574,40.696,-80.696,41.029,-81.029
Nik575,40.697,-80.697,41.030,-81.030
Nik576,40.698,-80.698,41.031,-81.031
Nik577,40.699,-80.699,41.032,-81.032
Nik578,40.700,-80.700,41.033,-81.033
Nik579,40.701,-80.701,41.034,-81.034
Nik580,40.702,-80.702,41.035,-81.035
Nik581,40.703,-80.703,41.036,-81.036
Nik582,40.704,-80.704,41.037,-81.037
Nik583,40.705,-80.705,41.038,-81.038
Nik584,40.706,-80.706,41.039,-81.039
Nik585,40.707,-80.707,41.040,-81.040
Nik586,40.708,-80.708,41.041,-81.041
Nik587,40.709,-80.709,41.042,-81.042
Nik588,40.710,-80.710,41.043,-81.043
Nik589,40.711,-80.711,41.044,-81.044
Nik590,40.712,-80.712,41.045,-81.045
Nik591,40.713,-80.713,41.046,-81.046
Nik592,40.714,-80.714,41.047,-81.047
Nik593,40.715,-80.715,41.048,-81.048
Nik594,40.716,-80.716,41.049,-81.049
Nik595,40.717,-80.717,41.050,-81.050
Nik596,40.718,-80.718,41.051,-81.051
Nik597,40.719,-80.719,41.052,-81.052
Nik598,40.720,-80.720,41.053,-81.053
Nik599,40.721,-80.721,41.054,-81.054
Nik600,40.722,-80.722,41.055,-81.055
Nik601,40.723,-80.723,41.056,-81.056
Nik602,40.724,-80.724,41.057,-81.057
Nik603,40.725,-80.725,41.058,-81.058
Nik604,40.726,-80.726,41.059,-81.059
Nik605,40.727,-80.727,41.060,-81.060
